iter	Passed	Remaining
349	11367	21111
350	11401	21081
351	11439	21058
352	11473	21029
353	11505	20995
354	11536	20961
355	11570	20930
356	11603	20898
357	11635	20866
358	11670	20837
359	11700	20801
360	11733	20769
361	11766	20736
362	11799	20706
363	11833	20676
364	11866	20644
365	11898	20610
366	11935	20586
367	11970	20558
368	12006	20530
369	12043	20507
370	12079	20479
371	12116	20454
372	12150	20424
373	12184	20394
374	12218	20364
375	12252	20334
376	12286	20303
377	12324	20280
378	12357	20248
379	12394	20222
380	12435	20203
381	12471	20176
382	12510	20153
383	12545	20124
384	12578	20093
385	12613	20064
386	12650	20037
387	12683	20006
388	12723	19984
389	12758	19956
390	12793	19926
391	12829	19898
392	12866	19872
393	12904	19848
394	12939	19818
395	12972	19786
396	13008	19757
397	13045	19732
398	13080	19703
399	13115	19673
400	13152	19646
401	13191	19623
402	13230	19598
403	13267	19572
404	13303	19544
405	13339	19515
406	13377	19491
407	13420	19472
408	13459	19448
409	13492	19416
410	13528	19387
411	13565	19360
412	13599	19329
413	13635	19300
414	13671	19271
415	13706	19241
416	13740	19210
417	13777	19182
418	13809	19149
419	13844	19119
420	13880	19089
421	13914	19057
422	13950	19029
423	13985	18999
424	14024	18973
425	14058	18942
426	14095	18914
427	14137	18894
428	14175	18867
429	14214	18842
430	14249	18811
431	14287	18784
432	14322	18754
433	14356	18723
434	14393	18695
435	14437	18675
436	14473	18647
437	14510	18617
438	14548	18591
439	14583	18560
440	14618	18530
441	14656	18503
442	14691	18472
443	14729	18444
444	14763	18412
445	14798	18382
446	14835	18353
447	14868	18320
448	14902	18288
449	14939	18259
450	14973	18227
451	15007	18195
452	15039	18160
453	15073	18128
454	15107	18096
455	15146	18068
456	15181	18038
457	15215	18006
458	15250	17974
459	15289	17948
460	15325	17918
461	15360	17887
462	15398	17859
463	15434	17829
464	15471	17800
465	15507	17770
466	15541	17737
467	15578	17708
468	15614	17679
469	15649	17647
470	15688	17619
471	15723	17589
472	15760	17560
473	15798	17531
474	15834	17501
475	15869	17470
476	15903	17436
477	15936	17403
478	15975	17376
479	16008	17342
480	16045	17313
481	16079	17280
482	16112	17247
483	16144	17212
484	16177	17178
485	16214	17148
486	16247	17115
487	16282	17083
488	16314	17048
489	16348	17016
490	16382	16983
491	16419	16953
492	16452	16919
493	16487	16888
494	16522	16855
495	16558	16825
496	16590	16790
497	16625	16759
498	16660	16726
499	16694	16694
500	16727	16660
501	16762	16629
502	16797	16597
503	16831	16564
504	16867	16533
505	16902	16501
506	16937	16469
507	16972	16437
508	17010	16408
509	17046	16377
510	17081	16346
511	17117	16315
512	17150	16281
513	17187	16251
514	17227	16224
515	17262	16191
516	17294	16157
517	17329	16125
518	17361	16090
519	17399	16061
520	17433	16028
521	17467	15994
522	17502	15962
523	17535	15929
524	17574	15900
525	17607	15866
526	17640	15832
527	17673	15799
528	17708	15766
529	17741	15733
530	17776	15700
531	17812	15669
532	17845	15635
533	17881	15604
534	17914	15570
535	17948	15537
536	17981	15503
537	18014	15469
538	18050	15438
539	18084	15405
540	18119	15373
541	18157	15343
542	18193	15311
543	18228	15280
544	18263	15247
545	18298	15215
546	18337	15185
547	18371	15152
548	18407	15121
549	18441	15088
550	18480	15059
551	18518	15029
552	18552	14996
553	18590	14966
554	18626	14934
555	18661	14902
556	18696	14869
557	18733	14838
558	18768	14806
559	18802	14773
560	18837	14741
561	18869	14706
562	18906	14674
563	18944	14644
564	18980	14613
565	19015	14580
566	19050	14548
567	19082	14513
568	19118	14481
569	19152	14448
570	19187	14415
571	19222	14383
572	19254	14348
573	19289	14315
574	19322	14282
575	19359	14251
576	19398	14220
577	19431	14187
578	19470	14157
579	19505	14124
580	19542	14093
581	19581	14063
582	19615	14030
583	19652	13999
584	19689	13967
585	19722	13933
586	19759	13901
587	19796	13870
588	19835	13840
589	19870	13808
590	19905	13775
591	19942	13744
592	19977	13711
593	20012	13678
594	20045	13644
595	20080	13611
596	20114	13578
597	20150	13545
598	20186	13514
599	20223	13482
600	20257	13449
601	20294	13417
602	20328	13383
603	20366	13352
604	20430	13338
605	20474	13311
606	20512	13280
607	20552	13250
608	20589	13219
609	20641	13196
610	20701	13179
611	20738	13147
612	20779	13118
613	20816	13086
614	20857	13057
615	20894	13025
616	20934	12995
617	20973	12964
618	21011	12932
619	21048	12900
620	21087	12869
621	21124	12837
622	21162	12806
623	21202	12775
624	21243	12746
625	21281	12714
626	21315	12680
627	21350	12647
628	21395	12619
629	21438	12590
630	21474	12557
631	21510	12525
632	21546	12492
633	21585	12461
634	21623	12429
635	21661	12397
636	21702	12367
637	21741	12336
638	21777	12302
639	21813	12269
640	21850	12237
641	21887	12205
642	21928	12175
643	21969	12144
644	22012	12115
645	22046	12081
646	22084	12049
647	22117	12014
648	22156	11983
649	22190	11948
650	22228	11916
651	22259	11880
652	22296	11847
653	22331	11814
654	22370	11782
655	22418	11756
656	22452	11721
657	22488	11688
658	22525	11655
659	22559	11621
660	22595	11588
661	22634	11556
662	22678	11527
663	22717	11495
664	22756	11463
665	22799	11433
666	22840	11402
667	22880	11371
668	22919	11339
669	22962	11310
670	23007	11281
671	23048	11249
672	23087	11217
673	23130	11187
674	23173	11157
675	23211	11125
676	23249	11092
677	23285	11059
678	23330	11029
679	23368	10996
680	23403	10962
681	23437	10928
682	23474	10895
683	23511	10862
684	23550	10829
685	23589	10797
686	23632	10767
687	23679	10738
688	23728	10710
689	23770	10679
690	23810	10647
691	23856	10618
692	23905	10590
693	23955	10562
694	23995	10530
695	24034	10497
696	24071	10464
697	24106	10430
698	24148	10398
699	24192	10368
700	24246	10341
701	24293	10312
702	24341	10283
703	24387	10253
704	24431	10222
705	24475	10192
706	24514	10159
707	24555	10127
708	24591	10093
709	24629	10060
710	24665	10025
711	24703	9992
712	24741	9959
713	24777	9924
714	24814	9890
715	24849	9856
716	24892	9825
717	24936	9794
718	24979	9762
719	25020	9730
720	25064	9699
721	25106	9666
722	25147	9634
723	25188	9602
724	25228	9569
725	25268	9536
726	25311	9505
727	25367	9477
728	25419	9449
729	25467	9419
730	25511	9388
731	25557	9357
732	25600	9325
733	25641	9292
734	25679	9258
735	25724	9227
736	25764	9193
737	25797	9158
738	25831	9123
739	25866	9088
740	25897	9052
741	25928	9015
742	25959	8979
743	25990	8942
744	26022	8907
745	26056	8871
746	26093	8837
747	26124	8801
748	26160	8766
749	26190	8730
750	26229	8696
751	26266	8662
752	26297	8626
753	26331	8591
754	26382	8561
755	26417	8526
756	26453	8491
757	26487	8456
758	26520	8421
759	26555	8385
760	26592	8351
761	26625	8316
762	26661	8281
763	26698	8247
764	26730	8211
765	26763	8175
766	26795	8139
767	26827	8104
768	26861	8069
769	26893	8033
770	26931	7999
771	26966	7964
772	26998	7928
773	27032	7893
774	27067	7858
775	27098	7822
776	27131	7786
777	27168	7752
778	27202	7717
779	27241	7683
780	27274	7647
781	27307	7612
782	27345	7578
783	27391	7546
784	27427	7512
785	27461	7476
786	27496	7441
787	27530	7406
788	27567	7372
789	27605	7338
790	27640	7303
791	27675	7268
792	27711	7233
793	27743	7197
794	27781	7163
795	27816	7128
796	27852	7094
797	27887	7059
798	27919	7023
799	27959	6989
800	27990	6954
801	28026	6919
802	28059	6883
803	28092	6848
804	28130	6814
805	28162	6778
806	28195	6743
807	28230	6708
808	28263	6672
809	28298	6637
810	28337	6604
811	28384	6571
812	28421	6537
813	28453	6501
814	28489	6466
815	28526	6432
816	28560	6397
817	28592	6361
818	28625	6326
819	28658	6290
820	28689	6255
821	28726	6220
822	28764	6186
823	28802	6151
824	28841	6117
825	28880	6083
826	28921	6050
827	28966	6017
828	29008	5983
829	29050	5950
830	29092	5916
831	29134	5883
832	29171	5848
833	29211	5814
834	29254	5780
835	29288	5745
836	29324	5710
837	29380	5679
838	29416	5644
839	29453	5610
840	29489	5575
841	29526	5540
842	29560	5505
843	29596	5470
844	29636	5436
845	29678	5402
846	29716	5367
847	29751	5332
848	29784	5297
849	29816	5261
850	29850	5226
851	29888	5191
852	29921	5156
853	29953	5120
854	29988	5085
855	30021	5050
856	30055	5015
857	30086	4979
858	30126	4945
859	30159	4909
860	30191	4874
861	30232	4840
862	30269	4805
863	30307	4770
864	30352	4737
865	30401	4704
866	30436	4669
867	30471	4633
868	30505	4598
869	30539	4563
870	30569	4527
871	30601	4492
872	30634	4456
873	30665	4420
874	30699	4385
875	30730	4350
876	30763	4314
877	30795	4279
878	30827	4243
879	30858	4207
880	30890	4172
881	30926	4137
882	30961	4102
883	30995	4067
884	31029	4032
885	31065	3997
886	31101	3962
887	31138	3927
888	31174	3892
889	31208	3857
890	31241	3821
891	31279	3787
892	31315	3752
893	31364	3718
894	31400	3683
895	31433	3648
896	31467	3613
897	31503	3578
898	31538	3543
899	31573	3508
900	31612	3473
901	31648	3438
902	31681	3403
903	31715	3368
904	31750	3332
905	31784	3297
906	31818	3262
907	31853	3227
908	31888	3192
909	31925	3157
910	31958	3122
911	31993	3087
912	32030	3052
913	32063	3016
914	32097	2981
915	32133	2946
916	32170	2911
917	32208	2877
918	32242	2841
919	32277	2806
920	32309	2771
921	32361	2737
922	32395	2702
923	32432	2667
924	32467	2632
925	32504	2597
926	32544	2562
927	32574	2527
928	32612	2492
929	32646	2457
930	32680	2422
931	32718	2387
932	32753	2352
933	32786	2316
934	32824	2281
935	32858	2246
936	32892	2211
937	32927	2176
938	32962	2141
939	32996	2106
940	33030	2070
941	33066	2035
942	33100	2000
943	33134	1965
944	33167	1930
945	33203	1895
946	33236	1860
947	33269	1824
948	33307	1789
949	33353	1755
950	33391	1720
951	33426	1685
952	33458	1650
953	33494	1615
954	33527	1579
955	33561	1544
956	33594	1509
957	33629	1474
958	33661	1439
959	33694	1403
960	33732	1368
961	33767	1333
962	33805	1298
963	33837	1263
964	33867	1228
965	33899	1193
966	33932	1157
967	33963	1122
968	33995	1087
969	34028	1052
970	34062	1017
971	34095	982
972	34133	947
973	34165	912
974	34215	877
975	34258	842
976	34298	807
977	34351	772
978	34384	737
979	34416	702
980	34449	667
981	34485	632
982	34522	597
983	34555	561
984	34590	526
985	34630	491
986	34663	456
987	34696	421
988	34732	386
989	34768	351
990	34804	316
991	34836	280
992	34869	245
993	34903	210
994	34935	175
995	34968	140
996	35004	105
997	35038	70
998	35072	35
999	35105	0
