iter	RMSE
342	0.4881611447
343	0.4880693161
344	0.4879516292
345	0.4878669735
346	0.487766911
347	0.4876306183
348	0.487536869
349	0.4874525362
350	0.4873564704
351	0.4872813467
352	0.4871381562
353	0.4870610007
354	0.4869563799
355	0.4868427298
356	0.4867472247
357	0.486662887
358	0.4865604007
359	0.4864904963
360	0.4864253311
361	0.4862888824
362	0.4862144517
363	0.4861287235
364	0.4860594831
365	0.4859574858
366	0.4858854256
367	0.4858070144
368	0.4857122525
369	0.4856240792
370	0.4855344801
371	0.485457973
372	0.4853849793
373	0.4852749282
374	0.4851738901
375	0.4850695459
376	0.4849958101
377	0.4848926627
378	0.4848152601
379	0.4847477737
380	0.4846446176
381	0.4845652552
382	0.4844904935
383	0.4844191644
384	0.4843300932
385	0.4842594472
386	0.4841979576
387	0.4840883216
388	0.4840254624
389	0.4839492029
390	0.4838941277
391	0.4838112822
392	0.4837566777
393	0.4836527353
394	0.4835759083
395	0.4835063909
396	0.4834543845
397	0.4833620599
398	0.4832766224
399	0.4832164022
400	0.4831567942
401	0.4831001897
402	0.48301847
403	0.4829492488
404	0.4828811694
405	0.4828285641
406	0.4827516724
407	0.4826739265
408	0.4826043456
409	0.4825346882
410	0.4824757275
411	0.482319469
412	0.4822279474
413	0.4821219451
414	0.4820590292
415	0.4819625762
416	0.4819079841
417	0.4818189148
418	0.4817542943
419	0.4816844918
420	0.4816208969
421	0.4815677541
422	0.4814890397
423	0.4814354602
424	0.4813525692
425	0.481297708
426	0.481237529
427	0.4811575602
428	0.4811050776
429	0.4810428069
430	0.4809622053
431	0.4808843035
432	0.4808194907
433	0.4807348694
434	0.4806689239
435	0.4805954476
436	0.4805449067
437	0.480475752
438	0.4804187203
439	0.4803597226
440	0.4802846625
441	0.4802312605
442	0.4801373584
443	0.4800561146
444	0.4799822772
445	0.4798824649
446	0.4797808485
447	0.4796461888
448	0.4795723105
449	0.4795077218
450	0.4794484558
451	0.4794031928
452	0.4793638379
453	0.479297793
454	0.4792366934
455	0.4791629975
456	0.4790645996
457	0.4790155047
458	0.4789693746
459	0.4789137267
460	0.4788482451
461	0.478798793
462	0.4787363563
463	0.4786719229
464	0.4786199275
465	0.4785653117
466	0.4784994472
467	0.4784251683
468	0.4783518616
469	0.4782861465
470	0.4781930254
471	0.478136728
472	0.4780874931
473	0.4780442043
474	0.477967617
475	0.4779224599
476	0.4778728224
477	0.4778274325
478	0.4777776285
479	0.4777214613
480	0.4776716238
481	0.4775996794
482	0.4775558536
483	0.4774852133
484	0.477419939
485	0.4773562018
486	0.477300814
487	0.4772324666
488	0.4771747111
489	0.4771049783
490	0.4770461088
491	0.4770017164
492	0.4769523868
493	0.4768914352
494	0.4768492713
495	0.4767762831
496	0.4766871748
497	0.4766016852
498	0.4765581716
499	0.4765094021
